dataset,person_id,before_age,variant_filename,variant_number,makeup_age,delta,person_mean_delta,total_variants
FFHQ,000000,2.2757644653320312,makeup_01.jpg,01,5.475156307220459,3.1993918418884277,1.477936363220215,5
FFHQ,000000,2.2757644653320312,makeup_02.jpg,02,5.121248722076416,2.8454842567443848,1.477936363220215,5
FFHQ,000000,2.2757644653320312,makeup_03.jpg,03,2.3821053504943848,0.10634088516235352,1.477936363220215,5
FFHQ,000000,2.2757644653320312,makeup_04.jpg,04,2.2632927894592285,-0.012471675872802734,1.477936363220215,5
FFHQ,000000,2.2757644653320312,makeup_05.jpg,05,3.526700973510742,1.250936508178711,1.477936363220215,5
FFHQ,000001,56.793270111083984,makeup_01.jpg,01,35.540462493896484,-21.2528076171875,-26.867538070678712,5
FFHQ,000001,56.793270111083984,makeup_02.jpg,02,25.06013298034668,-31.733137130737305,-26.867538070678712,5
FFHQ,000001,56.793270111083984,makeup_03.jpg,03,37.75276565551758,-19.040504455566406,-26.867538070678712,5
FFHQ,000001,56.793270111083984,makeup_04.jpg,04,28.474857330322266,-28.31841278076172,-26.867538070678712,5
FFHQ,000001,56.793270111083984,makeup_05.jpg,05,22.80044174194336,-33.992828369140625,-26.867538070678712,5
FFHQ,000002,9.109223365783691,makeup_01.jpg,01,14.414328575134277,5.305105209350586,4.5666461944580075,5
FFHQ,000002,9.109223365783691,makeup_02.jpg,02,15.077439308166504,5.9682159423828125,4.5666461944580075,5
FFHQ,000002,9.109223365783691,makeup_03.jpg,03,14.790488243103027,5.681264877319336,4.5666461944580075,5
FFHQ,000002,9.109223365783691,makeup_04.jpg,04,10.052863121032715,0.9436397552490234,4.5666461944580075,5
FFHQ,000002,9.109223365783691,makeup_05.jpg,05,14.044228553771973,4.935005187988281,4.5666461944580075,5
FFHQ,000003,1.734932541847229,makeup_01.jpg,01,3.5163650512695312,1.7814325094223022,1.2903399229049684,5
FFHQ,000003,1.734932541847229,makeup_02.jpg,02,2.9133408069610596,1.1784082651138306,1.2903399229049684,5
FFHQ,000003,1.734932541847229,makeup_03.jpg,03,3.326880931854248,1.591948390007019,1.2903399229049684,5
FFHQ,000003,1.734932541847229,makeup_04.jpg,04,2.7579753398895264,1.0230427980422974,1.2903399229049684,5
FFHQ,000003,1.734932541847229,makeup_05.jpg,05,2.611800193786621,0.8768676519393921,1.2903399229049684,5
FFHQ,000004,18.804052352905273,makeup_01.jpg,01,25.769189834594727,6.965137481689453,3.4430580139160156,5
FFHQ,000004,18.804052352905273,makeup_02.jpg,02,20.275510787963867,1.4714584350585938,3.4430580139160156,5
FFHQ,000004,18.804052352905273,makeup_03.jpg,03,22.713449478149414,3.9093971252441406,3.4430580139160156,5
FFHQ,000004,18.804052352905273,makeup_04.jpg,04,16.03586769104004,-2.7681846618652344,3.4430580139160156,5
